Company,Sector,GICS Sub-Industry,Ticker,MarketCap
LVMH,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",MC.PA,312928796672
Hermès,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",RMS.PA,221315497984
L'Oréal,Consumer Defensive,Personal Products,OR.PA,197221089280
Schneider Electric,Industrials,Electrical Components & Equipment,SU.PA,139287019520
TotalEnergies,Energy,Integrated Oil & Gas,TTE.PA,137146793984
Sanofi,Healthcare,Pharmaceuticals,SAN.PA,129597603840
Airbus,Industrials,Aerospace & Defense,AIR.PA,110891679744
Air Liquide,Basic Materials,Industrial Gases,AI.PA,99902406656
EssilorLuxottica,Healthcare,"Apparel, Accessories & Luxury Goods",EL.PA,99735535616
Safran,Industrials,Aerospace & Defense,SAF.PA,90441416704
Axa,Financial Services,Life & Health Insurance,CS.PA,77888077824
BNP Paribas,Financial Services,Diversified Banks,BNP.PA,74877984768
Vinci,Industrials,Construction & Engineering,DG.PA,58993152000
Crédit Agricole,Financial Services,Regional Banks,ACA.PA,43002540032
Saint-Gobain,Industrials,Building Products,SGO.PA,42466816000
Dassault Systèmes,Technology,Application Software,DSY.PA,42445778944
Danone,Consumer Defensive,Packaged Foods & Meats,BN.PA,42372120576
Engie,Utilities,Gas Utilities,ENGI.PA,38186938368
Stellantis,Consumer Cyclical,Automobile Manufacturers,STLAP.PA,36369182720
Pernod Ricard,Consumer Defensive,Distillers & Vintners,RI.PA,31720439808
Thales,Industrials,Aerospace & Defense,HO.PA,31281246208
Capgemini,Technology,IT Consulting & Other Services,CAP.PA,30301505536
Kering,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",KER.PA,29098557440
Legrand,Industrials,Electrical Components & Equipment,LR.PA,27932534784
Orange,Communication Services,Integrated Telecommunication Services,ORA.PA,26863333376
Publicis,Communication Services,Advertising,PUB.PA,25305028608
STMicroelectronics,Technology,Semiconductors,STMPA.PA,23564646400
Michelin,Industrials,Tires & Rubber,ML.PA,22226491392
Veolia,Industrials,Multi-Utilities,VIE.PA,22111139840
Société Générale,Financial Services,Diversified Banks,GLE.PA,18980079616
ArcelorMittal,Basic Materials,Steel,MT.AS,17298495488
Renault,Consumer Cyclical,Automobile Manufacturers,RNO.PA,12448228352
Bouygues,Industrials,Construction & Engineering,EN.PA,11211907072
Unibail-Rodamco-Westfield,Real Estate,Retail REITs,URW.PA,10929118208
Vivendi,Communication Services,Movies & Entertainment,VIV.PA,10582159360
Accor,Consumer Services,"Hotels, Restaurants & Leisure",AC.PA,10181005312
Eurofins Scientific,Healthcare,Biotechnologies,ERF.PA,10140597248
Carrefour,Consumer Defensive,Hypermarkets & Super Centers,CA.PA,9701743616
Edenred,Industrials,Transaction Processing Services,EDEN.PA,8066204160
Teleperformance,Communication Services,Outsourcing,TEP.PA,5737519616
